展会活动 | 2017年02月06日 - 10日|TCEA 2017|美国，奥斯汀
展会活动 | 2017年02月07日 - 09日|CSTB Expo 2017|俄罗斯，莫斯科
展会活动 | 2016年11月23日 - 25日|2016年全球移动宽带论坛|日本，东京
展会活动 | 2016年11月02日 - 04日|2016运营转型峰会|中国，乌镇
展会活动 | 2016年11月02日 - 03日|亚太创新日|澳大利亚，悉尼
展会活动 | 2016年10月10日 - 14日|Open Cloud Forum 2016|荷兰，海牙
展会活动 | 2016年09月29日 - 30日|2016全球超宽带高峰论坛|德国，法兰克福
展会活动 | 2016年08月31日 - 09月02日|HUAWEI CONNECT 2016|中国，上海
展会活动 | 2016年04月01日 - 08月26日|2016超宽带全球行|香港－迪拜－新加坡－莫斯科－比勒陀利亚－巴里洛切
展会活动 | 2016年06月14日 - 15日|华为欧洲创新日|法国，巴黎
展会活动 | 2017年09月05日 - 07日|2017华为全联接大会|中国，上海
展会活动 | 2017年07月03日 - 04日|2017华为用户大会|中国，西安
展会活动 | 2017年06月13日|2017华为欧洲创新日|英国，伦敦
展会活动 | 2017年05月22日 - 23日|2017开放云峰会|新加坡
展会活动 | 2017年05月22日|华为全球ISP峰会（亚太）|新加坡
展会活动 | 2017年05月18日 - 19日|ICT能效论坛|阿联酋，迪拜
展会活动 | 2017年05月15日 - 18日|TM Forum Live!|法国，尼斯
展会活动 | 2017年05月16日 - 18日|SAP SapphireNow!|美国，奥兰多
展会活动 | 2017年05月16日 - 18日|2017世界应急通信展览会|中国，香港
展会活动 | 2017年04月24日 - 28日|HANNOVER MESSE 2017|德国，汉诺威
展会活动 | 2019年09月03日|2019华为亚太创新日|中国，成都
展会活动 | 2019年08月09日 - 10日|2019华为开发者大会|中国，东莞
展会活动 | 2019年07月18日 - 19日|2019华为软件与人工智能产业峰会|中国，郑州
展会活动 | 2019年06月26日 - 28日|2019世界移动大会·上海|中国，上海
展会活动 | 2019年06月24日 - 25日|2019年华为用户大会|中国，乌镇
展会活动 | 2019年06月11日|2019年全球5G极简站点论坛|英国，伦敦
展会活动 | 2019年05月20日 - 23日|2019 NGON波分论坛 & 华为光网创新大会|法国，尼斯
展会活动 | 2019年04月24日 - 25日|2019华为全球金融峰会|中国，上海
展会活动 | 2019年04月16日 - 18日|2019年华为全球分析师大会|中国，深圳
展会活动 | 2019年04月09日 - 12日|MPLS+SDN+NFV 2019全球年会|法国，巴黎
展会活动 | 2018年04月09日 - 13日|MPLS + SDN + NFV 2018全球年会|法国，巴黎
展会活动 | 2018年03月22日 - 23日|华为中国生态伙伴大会2018|中国，青岛
展会活动 | 2018年03月20日 - 22日|Passenger Terminal Expo 2018|瑞典，斯德哥尔摩
展会活动 | 2017年11月15日 - 16日|2017全球移动宽带论坛|英国，伦敦
展会活动 | 2017年11月14日 - 15日|第三届数据中心基础设施峰会|中国，天津
展会活动 | 2017年11月09日|2017华为亚太创新日|马来西亚，吉隆坡
