新闻 | 2019年07月08日|华为与复旦大学合作开发全国首个医学人工智能课程|近日，华为与复旦大学基础医学院合作开发的 医学人工智能与机器学习课程在上海复旦大学进行集中授课，吸引了来自医学院与附属医院的120多名本科生和研究生参与。
新闻 | 2019年07月03日|华为联合中国移动、GSMA、5MII、5GSA等发布《5G多媒体网络切片商业白皮书》及《5G多媒体产业推进倡议》|近日，在5G网络服务创新与网络切片峰会暨中国通信学会信息通信网络技术委员会2019年年会上，华为、中国移动研究院、咪咕文化、GSMA、5MII、5GSA和IHS Markit联合发布了《5G多媒体网络切片商业白皮书》。
新闻 | 2019年07月03日|华为智能数据解决方案FusionData荣获“尖峰开源技术创新奖”|今日，在2019云计算开源产业大会上，华为智能数据解决方案FusionData凭借领先的性能以及调优技术等荣获尖峰开源技术创新奖。
新闻 | 2019年07月03日|华为5G+C-V2X车载通信技术被评为全球新能源汽车创新技术|在刚刚举办的2019世界新能源汽车大会（World New Energy Vehicle Congress，简称WNEVC）上，华为5G+C-V2X车载通信技术被评为全球新能源汽车创新技术。
新闻 | 2019年07月02日|中国移动与华为联合多家产业伙伴发布《用户体验驱动的5G切片SLA保障白皮书》|在MWC19上海期间举行的5G网络服务创新与网络切片峰会暨中国通信学会信息通信网络技术委员会2019年年会上，华为、中国移动牵头联合中国电科院（能源互联网技术研究院）、数字王国、腾讯等5G切片联盟成员发布了《用户体验驱动的5G切片SLA保障白皮书》。
新闻 | 2019年07月01日|华为AI-Native数据库GaussDB率先通过512节点能力评测|近日，数据中心联盟发布了第八批大数据产品评测结果，华为AI-Native数据库GaussDB率先通过512节点分布式分析型数据库基础能力评测。
新闻 | 2019年07月01日|华为成功支持MWC19上海5G 网络商用|近日，华为助力运营商在上海新国际博览中心成功保障MWC19上海5G网络的顺利商用和平稳运行。
新闻 | 2019年07月01日|华为被《麻省理工科技评论》评为全球“50家最聪明的公司”|2019年6月29日，华为被《麻省理工科技评论》评选为50家最聪明的公司。
新闻 | 2019年06月28日|华为发布全系列CloudEngine S系列园区交换机新品和解决方案|今日，华为发布全新CloudEngine S系列园区交换机，涵盖接入、汇聚与核心交换机，共16款新产品。全新的园区核心交换机CloudEngine S12700E通过搭载Solar交换芯片，整机交换容量提升至57.6Tbps，是华为面向Wi-Fi 6时代提供的端到端解决方案的重要组成部分。
新闻 | 2019年06月28日|深圳地铁福田枢纽成为全国首个应用Wi-Fi6的地铁车站|深圳地铁福田枢纽作为首个应用Wi-Fi6技术的地铁车站，将各项最新的应用依托于Wi-Fi6网络进行了立体呈现，完整诠释科技地铁的拓展理念，携手华为开启了Wi-Fi6轨道行业应用的元年。
新闻 | 2019年06月28日|北京联通联合华为成功完成全球首个5G 承载随流检测方案iFIT试点|在MWC19上海期间，中国联通北京公司（以下简称北京联通）联合华为成功完成全球首个5G承载随流检测方案iFIT（In-situ Flow Information Telemetry）试点，凭借毫秒级的随流检测实时感知网络业务质量（Service Level Agreement, 以下简称SLA），实现静默故障秒级定位，支撑业务快速恢复，助力北京联通打造智能可视的5G承载网。
新闻 | 2019年06月27日|郑州NB-IoT电动车管理系统荣获GSMA“亚洲最佳智慧城市移动创新奖”|在2019世界移动大会上海期间，郑州市公安局、中国移动、华为、天地人联合打造的NB-IoT电动车管理系统，荣获主办方GSMA颁发的亚洲最佳智慧城市移动创新奖（Best Mobile Innovation for Smart Cities in Asia）。
新闻 | 2019年06月27日|中国电信和华为联合发布5G超级上行创新方案，以行业需求重新定义5G网络|在MWC19上海期间，中国电信携手华为发布了5G超级上行联合技术创新发布会。双方联合提出超级上行解决方案，旨在进一步增强5G体验，更好地优化用户服务感知，增强差异化的市场竞争力。
新闻 | 2019年06月27日|浙江移动、中国移动研究院携手华为发布全球领先的智简5G承载网|在MWC19上海期间，中国移动通信集团浙江有限公司（下文简称浙江移动）、中国移动研究院宣布与华为合作共建的智简5G承载网率先实现商用。
新闻 | 2019年06月27日|华为携手西班牙皇家剧院，共同打造“智慧剧院”|27日上午，华为技术（西班牙）有限公司和西班牙皇家剧院举行合作协议签字仪式，皇家剧院理事会主席马拉尼翁、中国驻西班牙大使吕凡、华为技术（西班牙）有限公司总经理金咏、皇家剧院总经理贝伦格尔等20余名嘉宾出席活动。
新闻 | 2019年06月27日|华为发布创新和知识产权白皮书|华为今天发布了创新和知识产权白皮书，并呼吁勿将知识产权问题政治化。
新闻 | 2019年06月27日|华为加入GSMA最新成立的AI in Network特别工作组，呼吁更多智能自治网络应用|在MWC19上海期间首次举办的AI in Network论坛上，华为等十一家产业伙伴加入了由GSMA牵头成立的AI in Network大中国区特别工作组，呼吁全产业共同定义清晰的智能自治网络分级标准，牵引产业伙伴各领域开展AI in Network网络案例的创新和落地，并计划于下半年发布完整的应用案例报告。
新闻 | 2019年06月26日|华为与30多家产业伙伴联合成立5G确定性网络产业联盟及产业创新基地|在MWC19上海期间，5G确定性网络峰会成功举行。在此次峰会上，华为联合30多家产业伙伴成立了5G确定性网络产业联盟及产业创新基地，持续推动产业共识和生态建设，加速5G产业发展。
新闻 | 2019年06月26日|固定网络迈入第五代10G PON时代，产业链携手推进千兆生态繁荣|在2019年世界移动大会上海期间举办的千兆论坛上，中国信息通信研究院、宽带发展联盟、上海市经信委、Ovum、中国超高清视频产业联盟、中国电信、中国联通、华为等产业各方就固定网络的发展演进达成共识，固定网络经历了5个阶段的发展，目前已进入以10G PON光纤技术为基础的千兆时代，产业各方将携手共建千兆大船，共同推动产业生态繁荣。
新闻 | 2019年06月26日|华为副董事长胡厚崑：业务创新加速5G大发展|在MWC19上海首日，华为副董事长胡厚崑在智联万物先锋主题演讲环节做了题为业务创新 加速5G大发展的主题发言。
新闻 | 2019年06月26日|华为董事长梁华：以终为始，构建长期领先的5G网络|6月26日，在2019年GTI国际产业峰会上，华为董事长梁华在主题演讲中表示，目前正是中国引领第一波最大规模5G商用网络建设的关键时刻，怎样建好5G网络、如何支持好5G行业应用、怎样构建5G生态值得整个行业思考。
新闻 | 2019年06月26日|MWC19 上海，华为助力全球运营商领跑5G新时代|在MWC19上海，华为以构建万物互联的智能世界为主题，通过展览展示、论坛活动、峰会发言等形式，与全球运营商客户和合作伙伴从5G立体覆盖、极简站点、业务发展、行业应用、智慧运营等多个维度，分享华为最强5G解决方案。
新闻 | 2019年06月25日|华为杨超斌：凝心聚力，守正创新，实现5G规模商用|在MWC19上海期间，华为举办主题为5G部署拉动中国数字化升级的5G is ON峰会。
新闻 | 2019年06月25日|华为与网易成立5G云游戏联合创新实验室|在MWC19上海前夕，华为X Labs与网易雷火游戏事业部签署合作备忘录（MOU），成立5G云游戏联合创新实验室，探索5G游戏应用的各种可能性，研究游戏体验评估模型，推进云游戏产业生态发展。
新闻 | 2019年06月25日|华为丁耘：千行百业+5G，使能新增长|在MWC19上海期间，华为举办主题为5G部署拉动中国数字化升级的5G is ON峰会。华为常务董事、运营商BG总裁丁耘发表了千行百业+5G，使能新增长主题发言 。
新闻 | 2019年06月25日|MWC19 上海|中国联通&华为：约你一起穿越5G太空之旅|中国联通携手华为联合展示5G太空之旅沉浸式体验业务，展会期间乘客可以通过裸眼3D的 VR体验5G火星探秘之旅，感受5G网络带来的低时延和高速率以及结合华为云端实时计算和渲染带来的极致体验。
新闻 | 2019年06月25日|华为发布《5G Cloud VR业务体验标准白皮书》|在2019年网络体验指数NEI论坛暨CEM精英荟上，华为面向国内三大运营商代表，海外运营商代表，互联网公司代表及行业分析师，发布了《5G Cloud VR业务体验标准白皮书》。
新闻 | 2019年06月24日|GTI联合华为及多家产业伙伴发布TDD频谱白皮书|在中国上海召开的第25届GTI Workshop中，GTI联合华为及多家产业伙伴发布了 TDD频谱白皮书《GTI TDD Spectrum White Paper》。作为该项目的组织者和主要内容贡献者，华为对白皮书做了深度解读，分享TDD频谱发展趋势，引起产业的高度重视。
新闻 | 2019年06月24日|业界首个5G网络切片使能智能电网商业可行性分析产业报告发布|今日，中国电信、国家电网、华为和IHS Markit联合发布《5G网络切片使能智能电网商业可行性分析》产业报告。
新闻 | 2019年06月24日|调研报告：华为FusionAccess稳居中国桌面虚拟化市场第一|近日，全球权威的咨询与服务机构IDC发布最新的《PRC VCC Software Tracker 2018H2》报告，华为FusionAccess桌面云解决方案凭借其优异的技术和市场表现获得2018 H2及2018全年中国桌面虚拟化市场第一，华为FusionAccess从2016年起连续多年蝉联中国市场第一。
新闻 | 2019年06月24日|华为：携手前行，将最好的5G带入现实|今日，第十一届华为用户大会在浙江乌镇召开，500多位来自全球的运营商嘉宾出席了大会。
新闻 | 2019年06月21日|巴基斯坦CMPak与华为完成最长距离微波MIMO链路联合创新和商用部署|近日，巴基斯坦CMPak和华为完成联合创新，基于最新的5G微波技术，成功实现了业界最长(11km)、速率最高的微波MIMO链路实验局，并在巴基斯坦本地实现规模商用，这也是5G微波MIMO方案首次行业规模商用案例。
新闻 | 2019年06月15日|中国电信广东公司与华为公司签署5G战略合作协议，促大湾区千行百业上5G|6月14日，中国电信广东公司与华为公司强强联手，举行5G战略合作协议签订仪式。
新闻 | 2019年06月13日|华为荣获5G全球峰会最佳5G核心网技术奖|近日，2019年5G全球峰会在伦敦举行。华为5G智简核心网解决方案在本次峰会上荣获最佳5G核心网技术（Best 5G Core Network Technology）奖。
新闻 | 2019年06月13日|华为Open Site项目获5G全球峰会“革命性网络致密行动”奖 推动站点开放，助力5G规模部署|近日，2019年5G全球峰会在伦敦举行。华为5G Open Site项目在本次峰会上荣获革命性网络致密行动（Revolutionary Network Densification Initiative）奖。
新闻 | 2019年06月11日|金域医学携手华为云，AI辅助宫颈癌筛查技术获突破性进展|金域医学与华为云在2019中国生物产业大会上联合宣布，双方在人工智能（AI）辅助病理诊断应用开发方面取得突破性进展。
新闻 | 2019年06月11日|中国首个POL工程技术标准正式发布，弥合全光园区产业断点|中国勘察设计协会近期正式发布了中国首个无源光局域网（简称POL）工程技术标准，该标准可有效指导设计院、集成商等提高设计能力、施工质量和交付效率，支撑POL在智能建筑和智慧园区的标准化建设和广泛应用。
新闻 | 2019年06月10日|华为与马来西亚运营商TIME签署MoU，共建领先的10G PON超宽接入网实验局|日前，华为与马来西亚运营商TIME联合签署10G PON实验局网络建设MoU，TIME将在马来西亚基于10G PON来提供高品质的千兆超宽接入服务，提升其市场竞争力。
新闻 | 2019年06月10日|华为中低运量城轨云、下一代轨道无线通信解决方案（LTE-R）及5G 室内数字化方案重磅亮相UITP世界公共交通大会|华为以云上轨道，奏响出行乐章为主题亮相国际公共交通协会（简称UITP）组织的世界公共交通大会及展览会，并正式发布中低运量城轨云解决方案、下一代轨道无线通信解决方案（LTE-R）及5G 室内数字化方案（DIS）。
新闻 | 2019年06月10日|华为携手生态伙伴发布下一代轨道无线通信LTE-R解决方案|华为公司在2019年斯德哥尔摩国际公共交通展（Global Public Transport Summit，以下简称GPTS）携手生态伙伴天津七一二通信广播股份有限公司（以下简称天津七一二）联合发布下一代轨道无线通信 LTE-R 解决方案，并已在中国率先启动建设。
新闻 | 2019年06月05日|中国邮政集团公司与华为签署战略合作协议|6月5日，中国邮政集团公司（以下简称中国邮政）与华为技术有限公司（以下简称华为）签署战略合作协议。中国邮政集团公司董事长刘爱力与华为技术有限公司轮值董事长徐直军出席仪式并见证了协议签署。
新闻 | 2019年06月05日|华为发布智能数据解决方案FusionData|华为在北京发布智能数据解决方案FusionData，支持智能的数据全生命周期管理；从数据接入、数据处理和数据使能三个层面，重定义数据基础设施，帮助客户打造领先的智能数据解决方案，拥抱行业数字化，释放数据价值。
新闻 | 2019年05月29日|华为杨晓宁：在开放、协作、发展中构建安全的数字社会|GSMA主办的Mobile 360大会在海牙召开。 这次大会的主题是5G网络安全，推动欧洲和全球就5G网络安全保证测试和认证制度达成一致。
新闻 | 2019年05月29日|物联网走进现实：华为分享隐私保护的挑战与实践经验|由GSMA主办、以5G网络安全为主题的Mobile 360大会于2019年5月29日在海牙召开，来自全球的网络安全与隐私保护专家和领导者参加了这次大会。
新闻 | 2019年05月29日|华为呼吁美国停止打压行为，有效应对网络安全风险|今天，华为提交简易判决动议，作为其挑战《2019财年国防授权法案》（2019 NDAA）第889条合宪性行动的一部分。
新闻 | 2019年05月28日|尼日尔总统：愿同华为一起把数字世界带给尼日尔的每个人|5月28日，正在中国进行国事访问的尼日尔共和国总统默罕默杜伊素福及夫人在北京参观了华为北京研究所，并与华为公共关系副总裁薛蛮举行会谈。
新闻 | 2019年05月27日|华为视频与腾讯视频达成重量级合作 引领视频行业合作新生态|5月27日，第七届中国网络视听大会期间，华为视频与腾讯视频在成都举行合作签约仪式，正式启动深度合作，未来双方将围绕视频内容，以运营为基础，实现帐号互通、运营协同、技术共享，通过深度合作共同为华为终端用户提供优质内容和服务。
新闻 | 2019年05月26日|华为ICT大赛2018-2019全球总决赛圆满落幕|今天，由华为主办、以联接 荣耀 未来为主题的华为ICT大赛2018-2019全球总决赛在华为东莞松山湖基地圆满闭幕。
新闻 | 2019年05月23日|华为首次提出5G确定性网络，以“差异化+确定性”服务使能千行百业|近日，在第三届未来网络发展大会期间，华为云核心网战略与业务发展部总裁戴继盛发表主题演讲，指出5G行业应用的发展关键在于提供差异化+确定性网络服务能力，并在业界首次提出5G确定性网络（5G Deterministic Networking）的观点。
新闻 | 2019年05月23日|华为斩获全球光网络最佳全能设备商大奖|在第21届下一代光网络论坛 (NGON，Next Generation Optical Networking)上，华为凭借全光网2.0(Optical Networking 2.0， ON2.0)解决方案荣获全球光网络领域最佳全能设备商（Best All Rounder）大奖。
新闻 | 2019年05月20日|广东移动加快推进5G商用，使能千行百业|5月17日，广东移动与华为强强联手，举行5G园区战略合作协议签约暨广东首个5G友好用户放号启动仪式。
新闻 | 2019年05月20日|与全球运营商携手并进，华为ON2.0引领全光网商用进程|在2019华为第六届光网创新大会上，华为传送与接入产品线总裁靳玉志与来访的200多位全球客户分享了华为ON2.0解决方案的商用实践进展。
新闻 | 2019年05月17日|中央广播电视总台、中国移动、华为三方联合完成业界首次5G SA网络切片环境下的超高清视频直播验证|近日，中央广播电视总台、中国移动与华为三方在北京成功完成了业界首次基于3GPP标准的5G SA网络切片环境下的超高清直播验证。
新闻 | 2019年05月16日|华为副董事长胡厚崑：共享创新时代 加速法国成为全球创新中心进程|法国科技行业年度盛会VivaTech今日在巴黎开幕。共有来自125个国家的10万名商业、政界及学术界人士等参加了此次大会。
新闻 | 2019年05月16日|5G + 五星购物中心全球首发|在517世界电信日前夕，中国房协、上海移动携手华为在上海陆家嘴中心L+MALL发布全球首个基于5G室内数字系统的5G +五星购物中心。
新闻 | 2019年05月16日|“数字平台”使能智慧民航建设|2019中国民航发展论坛于今日在北京开幕，来自全球多个国家的400多位代表围绕本届论坛主题智慧民航新一轮科技革命和产业变革进程中的民航高质量发展进行广泛交流。华为轮值董事长郭平发表《启迪智慧民航的马斯洛模型》主题演讲。
新闻 | 2019年05月16日|华为X-Haul斩获年度5G承载产业领导力奖，引领全球5G商用|2019年世界电信和信息社会日大会在北京盛大开幕。
新闻 | 2019年05月15日|中国民航局与华为签署战略合作协议|中国民用航空局（以下简称中国民航局）今日与华为在北京签署战略合作协议。
新闻 | 2019年05月15日|华为全球发布AI-Native数据库|继2018年发布AI战略和全栈全场景AI解决方案后，华为公司15日在京面向全球发布了人工智能原生（AI-Native）数据库GaussDB和业界性能第一的分布式存储FusionStorage 8.0，秉承数据+智能的理念重定义数据基础设施。
新闻 | 2019年05月14日|2019深圳国际友城智慧城市论坛盛大召开，全球管理者共商智慧未来|2019深圳国际友城智慧城市论坛今日在深圳召开。
新闻 | 2019年05月14日|华为率先打通全球首个5G VoNR语音和视频通话|近日，在IMT-2020(5G) 推进组组织的中国5G增强技术研发试验中，华为使用Mate 20X 5G版手机，率先打通全球首个5G SA网络下的 VoNR通话，包括语音和视频。
新闻 | 2019年05月14日|TmaxData与华为签署MoU，携手构建ARM架构的数据库管理系统|近日，韩国数据库解决方案提供商TmaxData与华为签署合作备忘录(MoU)，双方计划将TmaxData公司的Tibero DBMS（Tibero数据管理系统）部署在华为TaiShan ARM服务器上，为客户提供ARM架构的数据库管理系统。
新闻 | 2019年05月10日|华为Atlas人工智能开发者大赛正式启动|华为在智能计算大会苏州会场宣布，正式启动2019华为Atlas人工智能开发者大赛。
新闻 | 2019年05月09日|杭州･选择不凡 华为云城市峰会2019“Cloud+X”加码“数字经济第一城”|5月9日，杭州･选择不凡 华为云城市峰会2019在杭州举行。
新闻 | 2019年05月09日|华为携手亚信完成容器化CRM系统集成测试，助力运营商核心业务数字化转型|华为云Stack解决方案（简称HCS）与亚信CRM系统完成联合方案集成测试。该方案基于华为的容器技术部署微服务化的CRM应用，能够实现新功能的快速开发、测试、上线，从而缩短上线周期，提升业务敏捷度、可扩展性以及节省用户成本。此次集成测试的成功，标志着华为HCS解决方案能够帮助运营商核心业务实现更加高效敏捷的数字化转型。
新闻 | 2019年05月09日|华为聚焦AI基础平台，加速行业智能化落地|今日，在2019全球人工智能产品应用博览会上，华为公司云BU副总裁朱照生在大会上发表了主题为释放AI生产力，加速行业智能化演讲，分享了华为在人工智能领域的研究与实践，以及如何与行业场景结合，携手客户与合作伙伴共同推进智能化落地。
新闻 | 2019年05月09日|华为黄志勇：全光网络构筑超高清视频业务创新的基石|在2019世界超高清视频（4K/8K)产业发展大会上，华为发布了面向超高清视频业务的全光网络架构，通过打造千兆接入、端到端高品质硬管道、智能运维的极简网络，使能极致的超高清视频业务体验，推动超高清视频产业的繁荣发展。
新闻 | 2019年05月09日|中央广播电视总台、中国移动、华为联合完成业界首次基于5G 双频融合网络的移动场景4K直播|近日，中央广播电视总台，中国移动、华为在北京成功完成了业界首次基于5G双频融合网络的移动场景4K直播测试。
新闻 | 2019年05月09日|华为举办首届闪存技术论坛，发布闪存创新理念|华为在北京举办了主题为探讨闪存未来发展之道，推动产业共赢的首届华为闪存技术论坛，在业界首次提出面向应用感知的存储创新理念和未来SSD发展新形态。
新闻 | 2019年05月08日|Sunrise携手华为推出瑞士首批5G智能终端|瑞士领先运营商Sunrise携手华为宣布推出瑞士首批5G智能终端。
新闻 | 2019年05月08日|Orange联合华为完成西班牙首个400G现网试点和基于AI的光网智能运维测试|近日，西班牙Orange联合华为共同宣布双方完成了单波400G现网测试，这是西班牙首个单波400G现网试点，也是Orange集团的首个单波400G创新试点。
新闻 | 2019年05月06日|交通银行与华为签署战略合作协议|交通银行股份有限公司（以下简称交通银行）与华为公司签署战略合作协议。
新闻 | 2019年04月29日|中国电信携手华为助力首个5G智慧世园会盛大开幕|2019年北京世界园艺博览会今天开幕。中国电信携手华为为本次世园会提供端到端5G网络，助力首个5G智慧世园会盛大开幕。
新闻 | 2019年04月29日|携手同行，迈向智慧金融时代|4月25日，在以芯中有数，智慧金融为主题的2019华为全球金融峰会上，华为与2000多位海内外金融客户、伙伴及行业专家畅谈智慧金融的未来；并携手伙伴重磅发布了联合创新成果，旨在通过共同构建领先的技术和解决方案，帮助金融行业客户构建市场领导力，携手迈向智慧金融时代。
新闻 | 2019年04月28日|巴基斯坦总理在北京会见华为创始人|今日，巴基斯坦总理伊姆兰 汗在北京会见了华为公司创始人任正非，双方就ICT技术的发展以及如何加强合作进行了探讨。
新闻 | 2019年04月27日|捷克总统欢迎华为参与5G网络建设|捷克共和国总统米洛什泽曼27日在北京和华为公司创始人、CEO任正非进行会谈。
新闻 | 2019年04月26日|华为在俄罗斯首次发布Site Cloud，并与塔商签署合作MoU|近日，在华为全球5G极简站点论坛首站|俄罗斯移动网络基础设施生态论坛期间，华为发布了针对俄罗斯市场的Site Cloud平台，促进资源整合共享，构建Open Site新型产业生态。
新闻 | 2019年04月26日|华为发布TaiShan服务器五大解决方案，积极推进ARM产业发展与生态建设|华为在杭州举行的智能计算大会上正式发布TaiShan服务器五大解决方案，包括大数据、分布式存储、ARM原生、高性能计算和数据库应用领域。
新闻 | 2019年04月26日|华为联合中软国际发布金融大数据智慧应用解决方案|在 2019 年华为全球金融峰会期间，华为联合中软国际发布了金融大数据智慧应用解决方案，将能够实现金融领域数据采集和处理流程的精简化，帮助金融客户更好地了解自己的客户和场所，提高用户的忠诚度，降低客户TCO，从而使能商业价值最大化。
新闻 | 2019年04月25日|华为联合四方精创发布面向银行业的分布式开放银行服务解决方案|在 2019 年华为全球金融峰会期间，华为联合业界领先的银行解决方案提供商四方精创（Forms Syntron）联合发布面向金融行业的分布式开放平台解决方案Fincube ，帮助各种规模的银行客户更好地迎接银行 4.0 时代的挑战，降低创新成本，全面优化技术，持续提升业务开放能力，从而使银行客户的体验不断得到加强。
新闻 | 2019年04月25日|华为联合伙伴发布AI金融解决方案，打造智慧金融“最强大脑”|在2019华为全球金融峰会上，华为发布AI（人工智能）金融解决方案，打造最强金融智慧大脑，支撑全方位智慧金融服务，激发金融机构数字化转型。
